Games with Regional Prices in CAD,USD,CAD,UAH,TRY,ARS,BRL,AUD,JPY,KRW,CNY,PLN,MXN,INR,SAR,ZAR,PHP,VND,IDR,KZT,MYR,CLP,TWD,Lowest Regional Price
Raft,27.428279,21.99,9.160861200051688,27.428279,27.428279,9.139755992148531,25.870974990230557,18.270441414716785,20.71915063713648,12.995542927182575,27.04824310632821,13.18415531793358,8.991303712449565,20.49002666666667,16.97836527595715,12.016799363057327,9.88976496846351,11.43591023536004,6.819349727737265,12.280034857156316,13.519017342575184,21.887227450432366,KZT
V Rising,23.998029,22.49,9.160861200051688,12.335179000000002,12.335179000000002,12.598976967819778,22.76109613130129,15.686742628797239,17.019302309076394,10.319989971586162,27.04824310632821,13.62365157832361,8.418406484753662,12.787972000000002,10.078481670659496,9.602382929375741,9.88976496846351,9.165529009360432,6.819349727737265,12.603193669186746,10.957519319771466,13.23522514630846,KZT
The Elder Scrolls IV Oblivion Remastered,68.59127900000001,66.99,59.06949569495695,48.00977900000001,48.00977900000001,65.45340260395095,75.91500260518431,63.94654495150874,55.15240574361567,47.58662042453619,93.55483446972809,73.17612735493996,66.23328504639838,73.17866666666667,81.32559440401393,48.07176429267131,44.7143628893297,58.77764729532327,46.31753801869549,68.81666902187993,51.228537401617274,70.10460245341478,VND
Two Point Museum,32.916679,31.99,31.48840821093036,27.428279,27.428279,25.0842938178675,34.28015891624332,28.69751151503495,29.99343711280709,24.15642097052761,38.77453380432104,26.36977562340179,25.446185196826285,35.12576000000001,35.29019120372463,24.99648097930812,24.250966225859987,24.217399743995852,28.821402622889575,25.594177912810007,27.321222522115896,37.367296437810815,CNY
FANTASY LIFE i The Girl Who Steals Time,82.312279,79.99,65.63642128639185,68.59127900000001,68.59127900000001,74.10145504312906,81.2768627067865,70.84871170817954,63.93337910887828,51.21772800713132,101.06927900544922,73.24937673167165,79.48949034280632,82.32600000000001,89.07827261221354,79.1986276653143,78.8550940836532,69.70911245754363,64.53935515911344,81.98862220024024,71.15129980120176,72.44298145452935,CNY
Monster Hunter Wilds,96.033279,89.98999999999998,65.63642128639185,72.021529,72.021529,68.93733230087699,93.78786961052494,91.35220707358393,83.66590352519873,70.32882054710569,112.34094580903093,87.8260027012743,71.59623965010724,102.08424000000001,100.70728992451295,83.88564811895203,73.1211346072568,73.07264019976527,66.38958627392215,80.46654419557692,85.24096198107932,93.06748424435985,UAH
 ,32.916679,31.189999999999998,15.760621419443765,16.451479000000003,16.451479000000003,17.59013866128829,31.420500195388822,25.836987859195453,25.257631252890185,12.231099225583598,32.45864317204743,19.630100470320684,16.550364355659376,17.99829306666667,16.745784929711164,17.498209693580822,16.202380905780643,16.548472403536945,15.645904280997197,18.613947572952732,17.6458752682034,14.87209044708866,CNY
PATAPON 12 REPLAY,41.149279,39.99,31.160061931358612,27.428279,32.916679,33.9744917253426,35.7010518431679,36.54088282943357,39.26772358847771,26.37330770516464,48.468167255401305,35.81894522178744,31.81170994900297,36.863753333333335,44.11273900465579,28.819166789290396,25.776515077378296,28.50589761532845,38.21151853100779,31.99272239101251,32.72882945914597,46.29990422206846,VND
Rune Factory Guardians of Azuma,82.312279,79.99,36.938956451821326,54.870279000000004,54.870279000000004,59.29846013938162,78.59593265598542,70.84871170817954,64.92000532969429,49.30661875313388,103.31985514389771,73.24864423790433,63.018695046549155,65.85714106666667,63.57196130723682,59.84964579260474,55.76144077963468,56.84361884354582,55.584133629858464,64.30860359405546,56.920755230069986,79.03721023767244,UAH
Core Keeper,19.195679000000002,18.19,9.52204210758061,9.590979,9.590979,10.375192054888263,18.453735183014196,14.856268019037387,14.848724623281143,10.167101231266368,21.03668747775131,11.689868032607478,9.802908118352091,10.2303776,10.039718279618498,10.347499001492507,9.574134171597654,9.770964002960326,9.366955852439112,11.08434725264373,10.459450259781853,10.709775825104726,KZT
shapez 2,23.998029,22.75,8.73401103660842,8.630509,9.508653,9.51038681097045,23.109617037905434,18.085891501436816,17.2659588642804,10.033323583486546,17.091604096497715,14.509969036776837,7.797767821416436,12.791630933333334,10.311062016905485,10.936381058488015,10.126488066112902,9.417793590027054,7.745751954901573,13.798881273699335,12.949795559729914,13.328760306353043,KZT
Grand Theft Auto V Enhanced,27.153859,27.71,28.861637974356398,27.153859,27.153859,24.449279681619277,26.71099973948157,26.307590138059368,23.876354543747752,18.835892807398743,31.245060379528468,28.974523459980034,26.241875790848372,27.529814400000003,28.96090471455047,27.169335589609915,23.724914897750228,24.382212603364714,25.473487907498562,26.589507053863734,25.351715153471254,27.546104633129623,CNY
Victoria 3,68.59127900000001,66.99,40.02541147979573,41.149279,41.149279,44.473227386504846,62.510352351178845,64.50019469134864,54.26444214488125,37.83996322914926,87.16379939209727,56.182271953192156,42.951378265312165,54.884,48.84187271165756,48.04796865036822,43.662260233110175,45.15527585113205,42.46010207836411,55.26015685720342,50.09151689038384,59.30129146826547,CNY
DJMAX RESPECT V,68.59127900000001,56.99,34.47635935503324,68.59127900000001,68.59127900000001,24.459163170121194,62.510352351178845,45.95292840671191,49.13398579663793,26.37330770516464,67.62624359922233,62.2619702219209,50.90828420553302,61.47008,50.31488157121548,54.80208530407181,54.814548389037114,58.0208535533234,43.74677183831454,60.10753903765987,26.326507456593784,32.64377085555938,BRL
The Binding of Isaac Rebirth,20.567779,16.99,7.519129802192963,20.567779,20.567779,6.915971079217014,17.863930571837958,13.656693582717596,15.292706422648354,9.173324419187699,20.2852430241792,10.986674015983432,7.304439653122743,10.610906666666667,8.140312118609593,9.325968902622748,8.679846913811058,8.072382493138395,6.176014847762051,10.017923172943311,9.107548525524335,12.533711445974088,KZT
9 Kings,13.364254,12.99,4.235667006475512,7.121199000000001,7.121199000000001,6.421796654121122,11.581617819460726,11.156042257774036,9.5505418174991,6.086882973981838,12.207215148278978,9.521686481349999,5.156075049263113,11.876897600000001,10.028089262306198,6.24839916475724,6.8123646990214075,5.46564849291662,6.523415682948667,7.14180974587249,6.844891938714384,12.112803225773469,UAH
Tom Clancys The Division 2,41.149279,39.99,21.30967354420626,32.916679,32.916679,37.06061101006646,44.63748534583822,38.57093187551321,33.54529150774478,NA,45.04909499164819,43.87637666227132,33.40309113704714,42.43996773333333,41.786935542195906,28.819166789290396,25.776515077378296,29.346779550883863,29.07616323535976,31.99272239101251,36.71338193906286,39.70567543892538,UAH
Terraria,13.707279000000002,11.49,5.549052124762492,7.944459000000001,7.944459000000001,5.1122344276170075,12.957828578871956,9.319770620638359,10.852888428976252,8.026658866789237,13.522242942030179,8.34969645364325,5.553920346274155,8.031358666666668,6.124615784477694,6.969238874524396,6.312615937317133,5.886089460694326,4.760678111816581,7.594232082715091,6.26143961129798,8.698769884146197,KZT
TEKKEN 8,82.312279,79.99,59.06949569495695,54.870279000000004,65.84707900000001,73.36019340548523,75.91500260518431,73.08176565886714,68.86651021295839,47.39550949913645,97.31205673758866,72.44363358762325,55.68242776966553,75.28255333333334,89.07827261221354,60.06596981354187,52.07908148286636,50.368827939769155,76.45134379673449,64.30860359405546,68.30519088697541,74.36045223544329,CNY
Dont Starve Together,20.567779,16.99,7.519129802192963,9.042139,9.042139,6.915971079217014,19.213332030741174,13.656693582717596,15.292706422648354,4.586662209593849,20.2852430241792,10.986674015983432,7.304439653122743,10.958505333333333,8.140312118609593,9.372839107159125,8.679846913811058,8.072382493138395,6.176014847762051,10.017923172943311,9.107548525524335,12.533711445974088,CNY
It Takes Two Friends Pass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.15642097052761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
Sultans Game,29.143404,27.620000000000005,14.34873241728526,14.557981,14.557981,15.539314797140339,27.720816725283314,21.961439680316136,22.643071767727726,12.995542927182575,36.72309044606917,17.619405079036298,14.879414108212995,16.011492266666668,15.15648589703024,15.629410512707324,14.36120125739648,14.795233567903912,13.998966988260651,16.755784403777763,15.72475175110061,16.181582687712815,CNY
WUCHANG Fallen Feathers,68.59127900000001,62.99000000000001,49.21910730780459,48.00977900000001,48.00977900000001,49.1703552970413,63.40399570144588,66.99161852062821,59.00024800479816,47.39550949913645,63.49705632684357,51.27383121840284,47.72552182944467,51.221407733333336,54.26797218957646,46.8702045363772,48.396722186098025,49.61195010957573,46.320111358215385,48.150662992533974,48.241546096136716,59.86250242853297,KZT
It Takes Two,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.83996322914926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
 ,9.590979,10.0,7.387791290364265,7.944459000000001,7.944459000000001,8.151407141956746,9.830076852937346,9.227495663998376,8.879635987344205,6.306660538191543,17.279465209890745,9.082190220959967,7.638629702612018,8.228941066666666,7.752678208199613,8.052060779326341,7.469928859158609,7.651941525360691,7.462684607712479,8.644498221813986,8.18256312840077,8.79230504419078,CNY
Back to the Dawn,23.311979,22.089999999999996,11.55778904092543,9.892841,9.892841,12.598976967819778,22.403638791194478,21.177102548876274,18.025661054308735,12.670654354003009,29.377720912401763,14.194996716830648,11.903531286570397,12.733088,12.19108648239389,12.564820216098042,11.62573435122572,11.864760022493304,11.374160677961779,13.459564521067383,12.700761029735109,13.001387246197005,TRY
SCUM,40.120204,38.99,24.52746708400936,26.742229,26.742229,25.694599232860924,40.65183600364726,29.989360907994723,31.424045132990326,21.73886776422085,48.8401322599195,26.186652181572615,24.555011731521553,28.536021066666667,26.20327707589387,24.21627234379489,24.435084190698408,25.68885904302427,23.41481629157788,25.203155750253185,24.0496203252127,25.815704172304844,CNY
Party Animals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.728870689174887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.59561602934009,USD
Neon Abyss 2,24.684079,23.39,12.247316228026094,12.952624,12.952624,13.340238605463618,23.726230949589684,19.10091602447664,19.09121737279004,9.975990305866624,24.684950299843923,15.030039611571706,12.603739009309832,13.483169333333334,12.908209216652354,13.303927287633222,12.30960107776841,12.562692029004294,12.043228953136001,14.251303610541935,13.447864619719526,13.796436106575959,CNY
SnowRunner,20.567779,19.99,NA,14.393329000000001,13.021229000000002,12.342006266769916,20.080166080500195,22.976464203355956,17.1672962421988,12.32665468828347,18.78235411703497,14.649142852567014,11.123754504428751,21.770653333333335,16.629494756588166,11.957911157357776,10.521026562195223,10.88942106544258,10.280491382003916,12.764773075201962,14.223429298846208,19.829453929451546,KZT
