Games with Regional Prices in CAD,USD,CAD,UAH,TRY,ARS,BRL,AUD,JPY,KRW,CNY,PLN,MXN,INR,SAR,ZAR,PHP,VND,IDR,KZT,MYR,CLP,TWD,Lowest Regional Price
Date Everything,41.149279,38.99,35.4285635657913,27.428279,27.428279,26.438331742630243,39.27562524423603,31.373485257594478,33.05197839733677,24.844420301966686,45.08290999205893,26.369043129634477,38.17723470117966,40.24460773333333,41.786935542195906,27.61736667297303,31.56307968658567,35.23286901157819,28.818829283369674,33.93167526319509,34.00957847054783,42.04405444003995,CNY
Schedule I,27.428279,25.99,13.626370602227421,14.393329000000001,14.393329000000001,14.822761880751294,26.362478832877425,21.223240027196265,21.21246374754449,14.524430330380524,34.56268764204935,16.70012540105382,14.0041544547887,14.983332,14.342454685169283,14.782141430703582,13.677334530853791,13.958556042026276,13.381365503484446,15.83478178949104,14.942071799688364,15.339766247311573,KZT
ELDEN RING,82.312279,79.99,59.06949569495695,54.870279000000004,65.84707900000001,67.82543984441124,80.38321935651948,83.23201088926535,63.93337910887828,56.951055769123634,93.55483446972809,71.71113982030654,57.273808957709704,91.10744000000001,65.82023798761472,57.66236958090714,52.07908148286636,50.368827939769155,46.31753801869549,64.30860359405546,64.74755474419246,83.71396823990158,KZT
Lies of P,41.149279,39.99,26.661717901225707,24.684079,24.684079,30.873547207865883,40.1871414615084,38.57093187551321,31.96668955443914,28.475527884561817,51.658048960814924,43.94962603900299,29.440551978817155,30.186200000000003,31.747217262577408,29.444102849775426,27.617694725762462,36.5783641966604,28.306734718909404,41.041169127864535,25.472674782325875,30.165089114377942,TRY
American Truck Simulator,6.846779000000001,6.49,3.2834627957174516,3.457692,3.457692,3.827380922367687,6.586151491468022,6.413109486478872,6.117082569059341,4.204440358794362,7.510687313453271,4.485791831047572,3.660176732501592,5.3896088,4.244591318989287,3.8758053751235,3.682359296768328,3.6997964282502553,3.3453413758711115,4.362643962410797,3.8778233956334085,5.004131062385177,UAH
The Elder Scrolls Online,27.428279,24.99,19.66794214634753,16.451479000000003,16.451479000000003,15.195863571698693,31.232835091832747,20.72495526134035,21.705776857952504,15.86220680817873,30.020205920205925,26.296526246670123,25.446185196826285,32.92674106666667,23.18050784251684,22.113122140239504,23.67230976493925,22.36745948577395,17.24137478333573,25.526314562283616,21.33158631212653,28.013780433352533,BRL
REMATCH,41.149279,38.99,22.327547010878668,20.567779,20.567779,21.990761916767216,39.27562524423603,34.14173395679399,31.57203906611273,20.639979943172325,33.43927818395904,24.53854120511,20.687955444574218,32.564506666666674,30.142412873480094,21.87276211697603,20.252976132225804,20.685611526469568,23.160055679107693,23.267434466190917,22.05734408525425,22.822579050878193,VND
The Outlast Trials,21.939879,20.79,9.719049875323657,10.414239,10.414239,10.671696709945797,20.911254396248534,16.609492195197074,16.575320509709183,10.39643434174606,27.799687559900324,12.012165290226834,10.184839603482692,11.115839466666667,10.233535234823488,10.575841023592805,9.88976496846351,10.090499138471383,9.572823014031181,11.375190183471116,10.815213874060149,11.17745162532764,KZT
ARK Survival Ascended,61.730779000000005,60.0,54.01296298955207,28.800379,28.800379,54.35918676054818,62.555034518692196,62.37787068862902,60.18419946977738,47.39550949913645,78.33432706262495,60.430735803629105,58.88110395763431,60.372400000000006,66.67303259051667,61.53216595544905,57.86564609207373,60.12305839221193,55.27533288747036,69.47914458654232,59.19906541590818,68.2806668325454,TRY
Warhammer 40000 Darktide,21.939879,19.99,9.948892271023878,13.707279000000002,13.707279000000002,14.820291008625816,21.429567539403415,19.193190981116622,17.364621486362,14.37154159006073,25.545354199183986,23.41050080344226,13.98824064290826,23.270816000000003,18.57541698684627,15.373427087931724,13.992965327719647,14.799437977581688,13.378792163964546,16.674994700770156,15.936786865210475,21.466319230231743,UAH
